Season,Team,Bat_Player,Bat_Mat,Bat_Inns,Bat_NO,Bat_Runs,Bat_HS,Bat_Ave,Bat_BF,Bat_SR,Bat_100,Bat_50,Bat_0,Bat_4s,Bat_6s,Bat_,Bowl_Player,Bowl_Mat,Bowl_Inns,Bowl_Overs,Bowl_Mdns,Bowl_Runs,Bowl_Wkts,Bowl_BBI,Bowl_Ave,Bowl_Econ,Bowl_SR,Bowl_4,Bowl_5,Bowl_
2023,Delhi Capitals,Mohamed Miuvaan,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,,Mohamed Azzam,6,-,-,-,-,-,-,-,-,-,-,-,
2023,Delhi Capitals,Naseer Naail Ismail,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,,Mohamed Rishwan,6,-,-,-,-,-,-,-,-,-,-,-,
2023,Delhi Capitals,Nazwan Ismail,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,,Muaviath Ganee,2,-,-,-,-,-,-,-,-,-,-,-,
2023,Delhi Capitals,Tholal Mohamed Raya,2,1,0,0,0,0.00,2,0.00,0,0,1,0,0,,KTK Rodrigo,5,-,-,-,-,-,-,-,-,-,-,-,
2023,Delhi Capitals,MHSMS Amaradasa,1,-,-,-,-,-,-,-,-,-,-,-,-,,Shaof Hassan,1,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,SA Yadav,18,17,2,733,112*,48.86,470,155.95,2,5,0,61,43,,Arshdeep Singh,21,21,68.4,0,636,26,3/20,24.46,9.26,15.8,0,0,
2023,Mumbai Indians,YBK Jaiswal,15,14,1,430,100,33.07,270,159.25,1,3,2,50,22,,Ravi Bishnoi,11,11,44.0,0,317,18,3/24,17.61,7.20,14.6,0,0,
2023,Mumbai Indians,RD Gaikwad,10,9,3,365,123*,60.83,248,147.17,1,2,1,36,15,,Kuldeep Yadav,9,9,30.5,0,184,14,5/17,13.14,5.96,13.2,0,1,
2023,Mumbai Indians,Shubman Gill,13,13,1,312,126*,26.00,215,145.11,1,1,1,26,16,,HH Pandya,11,11,35.0,0,255,11,4/16,23.18,7.28,19.0,1,0,
2023,Mumbai Indians,NT Tilak Varma,15,14,5,310,55*,34.44,219,141.55,0,2,2,27,15,,AR Patel,13,12,41.0,0,291,11,3/16,26.45,7.09,22.3,0,0,
2023,Mumbai Indians,RK Singh,12,8,4,262,68*,65.50,145,180.68,0,1,0,26,14,,Mukesh Kumar,11,11,33.5,0,314,10,3/32,31.40,9.28,20.3,0,0,
2023,Mumbai Indians,Ishan Kishan,11,11,0,207,58,18.81,184,112.50,0,2,1,14,13,,YS Chahal,9,9,29.0,1,253,9,2/19,28.11,8.72,19.3,0,0,
2023,Mumbai Indians,AR Patel,13,9,2,190,65,27.14,121,157.02,0,1,1,13,10,,Umran Malik,5,5,14.1,0,131,9,3/48,14.55,9.24,9.4,0,0,
2023,Mumbai Indians,HH Pandya,11,10,2,188,30,23.50,170,110.58,0,0,0,15,7,,M Prasidh Krishna,5,5,20.0,0,220,8,3/41,27.50,11.00,15.0,0,0,
2023,Mumbai Indians,RA Tripathi,5,5,0,97,44,19.40,67,144.77,0,0,1,11,5,,Shivam Mavi,6,6,14.0,0,123,7,4/22,17.57,8.78,12.0,1,0,
2023,Mumbai Indians,SV Samson,8,6,1,78,40,15.60,61,127.86,0,0,0,8,2,,Avesh Khan,4,4,16.0,0,141,5,3/32,28.20,8.81,19.2,0,0,
2023,Mumbai Indians,JM Sharma,7,5,0,69,35,13.80,46,150.00,0,0,0,6,4,,Washington Sundar,8,7,20.0,0,126,5,2/15,25.20,6.30,24.0,0,0,
2023,Mumbai Indians,DJ Hooda,6,5,2,66,41*,22.00,49,134.69,0,0,0,2,5,,JJ Bumrah,2,2,8.0,1,39,4,2/15,9.75,4.87,12.0,0,0,
2023,Mumbai Indians,SS Iyer,2,2,0,61,53,30.50,44,138.63,0,1,0,5,2,,R Sai Kishore,3,3,12.0,0,63,4,3/12,15.75,5.25,18.0,0,0,
2023,Mumbai Indians,Washington Sundar,8,3,1,60,50,30.00,38,157.89,0,1,0,6,3,,DL Chahar,1,1,4.0,0,44,2,2/44,22.00,11.00,12.0,0,0,
2023,Mumbai Indians,S Dube,5,2,2,47,25*,-,35,134.28,0,0,0,2,3,,RA Jadeja,2,2,5.5,0,53,2,2/25,26.50,9.08,17.5,0,0,
2023,Mumbai Indians,Arshdeep Singh,21,8,4,28,12,7.00,23,121.73,0,0,2,3,1,,HV Patel,1,1,4.0,0,41,2,2/41,20.50,10.25,12.0,0,0,
2023,Mumbai Indians,Shivam Mavi,6,2,0,28,26,14.00,18,155.55,0,0,0,2,2,,Shahbaz Ahmed,2,2,5.2,0,41,2,1/13,20.50,7.68,16.0,0,0,
2023,Mumbai Indians,RA Jadeja,2,2,0,23,19,11.50,16,143.75,0,0,0,2,1,,NT Tilak Varma,15,3,5.0,0,26,2,1/5,13.00,5.20,15.0,0,0,
2023,Mumbai Indians,Ravi Bishnoi,11,4,1,14,8*,4.66,10,140.00,0,0,1,0,1,,S Dube,5,5,8.0,0,74,1,1/4,74.00,9.25,48.0,0,0,
2023,Mumbai Indians,Mukesh Kumar,11,3,3,5,4*,-,2,250.00,0,0,0,1,0,,DJ Hooda,6,2,6.0,0,31,1,1/17,31.00,5.16,36.0,0,0,
2023,Mumbai Indians,Umran Malik,5,2,2,5,4*,-,2,250.00,0,0,0,1,0,,Mohammed Siraj,2,2,6.0,1,40,1,1/27,40.00,6.66,36.0,0,0,
2023,Mumbai Indians,Kuldeep Yadav,9,3,0,3,3,1.00,11,27.27,0,0,2,0,0,,YBK Jaiswal,15,1,1.0,0,11,0,-,-,11.00,-,0,0,
2023,Mumbai Indians,Mohammed Siraj,2,1,1,2,2*,-,1,200.00,0,0,0,0,0,,RD Gaikwad,10,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,Avesh Khan,4,1,1,1,1*,-,1,100.00,0,0,0,0,0,,Ishan Kishan,11,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,YS Chahal,9,2,2,1,1*,-,2,50.00,0,0,0,0,0,,SS Iyer,2,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,DL Chahar,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,,SV Samson,8,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,JJ Bumrah,2,-,-,-,-,-,-,-,-,-,-,-,-,,JM Sharma,7,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,HV Patel,1,-,-,-,-,-,-,-,-,-,-,-,-,,Shubman Gill,13,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,M Prasidh Krishna,5,-,-,-,-,-,-,-,-,-,-,-,-,,RK Singh,12,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,Shahbaz Ahmed,2,-,-,-,-,-,-,-,-,-,-,-,-,,RA Tripathi,5,-,-,-,-,-,-,-,-,-,-,-,
2023,Mumbai Indians,R Sai Kishore,3,-,-,-,-,-,-,-,-,-,-,-,-,,SA Yadav,18,-,-,-,-,-,-,-,-,-,-,-,
2023,Rajasthan Royals,BKG Mendis,6,6,0,211,73,35.16,133,158.64,0,2,0,20,14,,D Madushanka,5,5,16.0,0,198,6,2/45,33.00,12.37,16.0,0,0,
2023,Rajasthan Royals,KIC Asalanka,6,6,0,162,67,27.00,114,142.10,0,1,0,5,14,,PW Hasaranga,6,6,22.0,0,192,5,2/30,38.40,8.72,26.4,0,0,
2023,Rajasthan Royals,MD Shanaka,6,6,1,147,56*,29.40,85,172.94,0,1,0,8,11,,CAK Rajitha,5,5,18.0,1,163,4,2/22,40.75,9.05,27.0,0,0,
2023,Rajasthan Royals,MDKJ Perera,3,3,1,121,53*,60.50,98,123.46,0,1,0,8,4,,MD Shanaka,6,3,4.0,0,34,4,2/4,8.50,8.50,6.0,0,0,
2023,Rajasthan Royals,DM de Silva,6,6,0,105,37,17.50,71,147.88,0,0,0,9,6,,N Thushara,1,1,3.0,0,17,4,4/17,4.25,5.66,4.5,1,0,
2023,Rajasthan Royals,P Nissanka,6,6,0,83,33,13.83,90,92.22,0,0,1,13,0,,C Karunaratne,4,4,14.0,0,151,3,1/22,50.33,10.78,28.0,0,0,
2023,Rajasthan Royals,PW Hasaranga,6,6,2,60,21*,15.00,36,166.66,0,0,1,2,5,,CBRLS Kumara,1,1,3.5,0,38,3,3/38,12.66,9.91,7.6,0,0,
2023,Rajasthan Royals,C Karunaratne,4,3,2,34,23*,34.00,28,121.42,0,0,1,1,2,,Pramod Madushan,3,3,10.0,0,96,3,2/37,32.00,9.60,20.0,0,0,
2023,Rajasthan Royals,SSD Arachchige,1,1,0,22,22,22.00,29,75.86,0,0,0,0,1,,M Theekshana,6,6,24.0,0,172,3,1/22,57.33,7.16,48.0,0,0,
2023,Rajasthan Royals,L Croospulle,1,1,0,16,16,16.00,12,133.33,0,0,0,2,1,,SSD Arachchige,1,1,3.3,0,26,2,2/26,13.00,7.42,10.5,0,0,
2023,Rajasthan Royals,CAK Rajitha,5,3,2,15,9*,15.00,9,166.66,0,0,0,2,0,,DM de Silva,6,2,2.4,0,37,1,1/6,37.00,13.87,16.0,0,0,
2023,Rajasthan Royals,KNA Bandara,1,1,0,13,13,13.00,9,144.44,0,0,0,0,2,,SMLD Samarakoon,1,1,3.0,0,10,1,1/10,10.00,3.33,18.0,0,0,
2023,Rajasthan Royals,V Viyaskanth,1,1,1,13,13*,-,19,68.42,0,0,0,1,0,,V Viyaskanth,1,1,4.0,0,28,1,1/28,28.00,7.00,24.0,0,0,
2023,Rajasthan Royals,PBB Rajapaksa,2,2,0,12,10,6.00,14,85.71,0,0,0,1,0,,RS Fernando,1,1,1.0,0,17,0,-,-,17.00,-,0,0,
2023,Rajasthan Royals,S Daniel,1,1,0,9,9,9.00,6,150.00,0,0,0,2,0,,N Vimukthi,1,1,4.0,1,13,0,-,-,3.25,-,0,0,
